Average_MW	MONO_MW	FORMULA	KEGG_ID	NAME	PUBCHEM_CID	CAS_ID	PATHWAY	hmdbid	super_class	class	sub_class	origin
 279.3761;	 279.1623;	 C19H21NO	C06971	 Doxepin;	 PubChem: 9185	 CAS: 1668-19-5	NULL	HMDB0015273	Organoheterocyclic compounds	Benzoxepines	Dibenzoxepines	null
 311.3749;	 311.1521;	 C19H21NO3	C06173	 Thebaine;	 PubChem: 8424	 CAS: 115-37-7	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map07039 Opioid analgesics	NA	NA	NA	NA	NA
 311.3749;	 311.1521;	 C19H21NO3	C09550	 Isothebaine;	 PubChem: 11741	 CAS: 568-21-8	NULL	NA	NA	NA	NA	NA
 311.3749;	 311.1521;	 C19H21NO3	C09611	 (+)-Pronuciferine;	 PubChem: 11802	 CAS: 2128-60-1	NULL	HMDB0030344	Alkaloids and derivatives	Proaporphines	null	Endogenous
 311.3749;	 311.1521;	 C19H21NO3	C11787	 Nalorphine;	 PubChem: 13951	 CAS: 62-67-9	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C02106	" (S)-Scoulerine; (13aS)-5,8,13,13a-Tetrahydro-3,10-dimethoxy-6H-dibenzo[a,g]quinolizine-2,9-diol;"	 PubChem: 5188	 CAS: 6451-73-6	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0304001	Alkaloids and derivatives	Protoberberine alkaloids and derivatives	null	null
 327.3743;	 327.1471;	 C19H21NO4	C05179	" Salutaridine; Sinoacutine; 5,6,8,14-Tetradehydro-4-hydroxy-3,6-dimethoxy-17-methyl-morphinan-7-one;"	 PubChem: 7590	 CAS: 1936-18-1	 map00950 Isoquinoline alkaloid biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C07252	 Naloxone;	 PubChem: 9461	 CAS: 465-65-6	NULL	HMDB0015314	Benzenoids	Phenanthrenes and derivatives	null	null
 327.3743;	 327.1471;	 C19H21NO4	C09365	 Boldine;	 PubChem: 11556	 CAS: 476-70-0	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C09366	 Bracteoline;	 PubChem: 11557	 CAS: 25651-04-1	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C09400	 Cularidine;	 PubChem: 11591	 CAS: 5140-50-1	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C09410	 Cularimine;	 PubChem: 11601	 CAS: 479-42-5	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C09541	" (S)-Isoboldine; (+)-Isoboldine; Isoboldine; 2,10-Dimethoxy-6aalpha-aporphine-1,9-diol;"	 PubChem: 11732	 CAS: 3019-51-0	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway	HMDB0000839	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Porphyrins	Endogenous
 327.3743;	 327.1471;	 C19H21NO4	C11778	 3-Acetylmorphine; O(3)-Monoacetylmorphine;	 PubChem: 13942	 CAS: 5140-28-3	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C11781	 6-Acetylmorphine; 6-O-Monoacetylmorphine;	 PubChem: 13945	 CAS: 2784-73-8	NULL	HMDB0041812	Alkaloids and derivatives	Morphinans	null	Endogenous
 327.3743;	 327.1471;	 C19H21NO4	C12326	" (R,S)-Scoulerine; Scoulerine;"	 PubChem: 582716	 CAS: 6451-72-5	NULL	NA	NA	NA	NA	NA
 327.3743;	 327.1471;	 C19H21NO4	C17591	 (S)-Corytuberine;	 PubChem: 96023936	NULL	 map00950 Isoquinoline alkaloid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 391.3719;	 391.1267;	 C19H21NO8	C10686	 Glycoperine;	 PubChem: 12869	 CAS: 55740-45-9	NULL	NA	NA	NA	NA	NA
 371.8639;	 371.1513;	 C19H22ClN5O	C07156	 Trazodone;	 PubChem: 9365	 CAS: 19794-93-5	NULL	HMDB0014794	Organoheterocyclic compounds	Diazinanes	Piperazines	null
 392.3998;	 392.166;	 C19H22F2N4O3	C07662	" Sparfloxacin; cis-5-Amino-1-cyclopropyl-7-(3,5-dimethyl-1-piperazinyl)-6,8-difluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid;"	 PubChem: 9864	 CAS: 110871-86-8	 map02010 ABC transporters	HMDB0015339	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	null
 359.3947;	 359.1645;	 C19H22FN3O3	C11368	 Grepafloxacin;	 PubChem: 13542	 CAS: 119914-60-2	NULL	HMDB0014509	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	null
 375.3941;	 375.1594;	 C19H22FN3O4	C07661	 Gatifloxacin; AM 1155;	 PubChem: 9863	 CAS: 112811-59-3	NULL	HMDB0015178	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	null
 294.3908;	 294.1732;	 C19H22N2O	C06528	 Cinchonine; (9S)-Cinchonan-9-ol;	 PubChem: 8759	 CAS: 118-10-5	 map00996 Biosynthesis of various alkaloids; map01063 Biosynthesis of alkaloids derived from shikimate pathway	NA	NA	NA	NA	NA
 294.3908;	 294.1732;	 C19H22N2O	C09149	 Eburnamonine; Vinburnine;	 PubChem: 11341	 CAS: 4880-88-0	NULL	NA	NA	NA	NA	NA
 294.3908;	 294.1732;	 C19H22N2O	C11379	" Cinchonidine; (8alpha,9R)-Cinchonan-9-ol;"	 PubChem: 13553	 CAS: 485-71-2	 map00996 Biosynthesis of various alkaloids; map01063 Biosynthesis of alkaloids derived from shikimate pathway	HMDB0030282	Alkaloids and derivatives	Cinchona alkaloids	null	Endogenous
 294.3908;	 294.1732;	 C19H22N2O	C11635	 10-Deoxysarpagine; Sarpagan-17-ol;	 PubChem: 13800	 CAS: 604-99-9	 map00901 Indole alkaloid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 294.3908;	 294.1732;	 C19H22N2O	C16735	 Corynantheal;	 PubChem: 96023259	NULL	 map00996 Biosynthesis of various alkaloids; map01063 Biosynthesis of alkaloids derived from shikimate pathway	NA	NA	NA	NA	NA
 310.3902;	 310.1681;	 C19H22N2O2	C06530	 Cupreine;	 PubChem: 8760	 CAS: 524-63-0	 map07016 Sulfonamide derivatives - sulfa drugs	NA	NA	NA	NA	NA
 310.3902;	 310.1681;	 C19H22N2O2	C09239	 Sarpagine;	 PubChem: 11430	 CAS: 482-68-8	 map00901 Indole alkaloid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 326.3896;	 326.163;	 C19H22N2O3	C08522	 Caribine;	 PubChem: 10715	 CAS: 74483-60-6	NULL	NA	NA	NA	NA	NA
 342.389;	 342.158;	 C19H22N2O4	C19061	 Phenisopham;	 PubChem: 124489733	 CAS: 57375-63-0	NULL	NA	NA	NA	NA	NA
 515.3646;	 515.0941;	 C19H22N3O12P	C19153	 Coenzyme F420-0; Factor 420-0; Oxidized coenzyme F420-0;	 PubChem: 124489825	NULL	 map00680 Methane metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01240 Biosynthesis of cofactors	NA	NA	NA	NA	NA
 531.364;	 531.089;	 C19H22N3O13P	C22299	 3PG-factor 420-0;	NULL	NULL	NULL	NA	NA	NA	NA	NA
 398.4158;	 398.1703;	 C19H22N6O4	C04303	 N-Benzoyl-D-arginine-4-nitroanilide; Bz-Arg-p-nitroanilide;	 PubChem: 6962	NULL	NULL	NA	NA	NA	NA	NA
 522.558;	 522.1104;	 C19H22N8O6S2	C11210	 Cefoselis;	 PubChem: 13390	 CAS: 122841-10-5	NULL	NA	NA	NA	NA	NA
 328.3823;	 328.1549;	 C19H22NO4	C06167	" 1,2-Dehydroreticuline; 1,2-Dehydroreticulinium; 3,4-Dihydro-7-hydroxy-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-(methyl-14C)-isoquinolinium;"	 PubChem: 8421	 CAS: 16202-17-8	 map00950 Isoquinoline alkaloid biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 282.3768;	 282.162;	 C19H22O2	C10281	 4-Prenyldihydropinosylvin;	 PubChem: 12467	 CAS: 70610-11-6	NULL	NA	NA	NA	NA	NA
 282.3768;	 282.162;	 C19H22O2	C13715	 Miltirone;	 PubChem: 586304	 CAS: 27210-57-7	NULL	HMDB0035080	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Food
 282.3768;	 282.162;	 C19H22O2	C14551	 Diethylstilbestrol monomethyl ether; Mestilbol;	 PubChem: 17395551	 CAS: 7773-60-6	NULL	NA	NA	NA	NA	NA
 282.3768;	 282.162;	 C19H22O2	C15308	" 3-Hydroxy-1-methylestra-1,3,5(10),6-tetraen-17-one; 1-Methyl-6-dehydroestrone;"	 PubChem: 17396305	NULL	NULL	NA	NA	NA	NA	NA
 298.3762;	 298.1569;	 C19H22O3	C09281	 Ostruthin;	 PubChem: 11472	 CAS: 148-83-4	NULL	NA	NA	NA	NA	NA
 298.3762;	 298.1569;	 C19H22O3	C10259	 Glepidotin C;	 PubChem: 12445	 CAS: 126026-25-3	NULL	NA	NA	NA	NA	NA
 298.3762;	 298.1569;	 C19H22O3	C15453	" Doisynoestrol; cis-1-Ethyl-1,2,3,4-tetrahydro-7-methoxy-2-methyl-2-phenanthrenecarboxylic acid;"	 PubChem: 17396450	 CAS: 15372-34-6	NULL	NA	NA	NA	NA	NA
 298.3762;	 298.1569;	 C19H22O3	C21495	 8-Geranylumbelliferone;	 PubChem: 333497478	NULL	NULL	NA	NA	NA	NA	NA
 314.3756;	 314.1518;	 C19H22O4	C09267	 Heliettin;	 PubChem: 11458	 CAS: 33054-89-6	NULL	NA	NA	NA	NA	NA
 314.3756;	 314.1518;	 C19H22O4	C11866	" 2,3-Dehydro-gibberellin A9; 2,3-Didehydro-gibberellin A9;"	 PubChem: 14028	 CAS: 2531-21-7	 map00904 Diterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 314.3756;	 314.1518;	 C19H22O4	C21496	 8-Geranylesculetin;	 PubChem: 333497479	NULL	NULL	NA	NA	NA	NA	NA
 330.375;	 330.1467;	 C19H22O5	C09173	 Podolide;	 PubChem: 11365	 CAS: 55786-36-2	NULL	NA	NA	NA	NA	NA
 330.375;	 330.1467;	 C19H22O5	C11854	 Gibberellin A51-catabolite;	 PubChem: 14016	NULL	 map00904 Diterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 330.375;	 330.1467;	 C19H22O5	C11867	 Gibberellin A7;	 PubChem: 14029	 CAS: 510-75-8	 map00904 Diterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 330.375;	 330.1467;	 C19H22O5	C11871	 Gibberellin A5;	 PubChem: 14033	 CAS: 561-56-8	 map00904 Diterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 330.375;	 330.1467;	 C19H22O5	C18037	 5-Deoxystrigol;	 PubChem: 96024257	NULL	 map00906 Carotenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C01699	 Gibberellin A3; Gibberellic acid; Gibberellin;	 PubChem: 4839	 CAS: 77-06-5	 map00904 Diterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	HMDB0003559	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Endogenous
 346.3744;	 346.1416;	 C19H22O6	C09062	 Antheridic acid; Antheridiogen-An;	 PubChem: 11254	 CAS: 34327-25-8	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C09104	 Hallactone A;	 PubChem: 11296	 CAS: 41787-72-8	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C09174	 Ponalactone A;	 PubChem: 11366	 CAS: 33722-77-9	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C09190	 Strigol;	 PubChem: 11382	 CAS: 11017-56-4	 map00906 Carotenoid biosynthesis; map01070 Biosynthesis of plant hormones; map01110 Biosynthesis of secondary metabolites	HMDB0036677	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Endogenous
 346.3744;	 346.1416;	 C19H22O6	C09385	 Cynaropicrin;	 PubChem: 11576	 CAS: 35730-78-0	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C09512	 Molephantin;	 PubChem: 11703	 CAS: 50656-66-1	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C09547	 Saupirin;	 PubChem: 11738	 CAS: 35932-39-9	NULL	HMDB0036423	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Endogenous
 346.3744;	 346.1416;	 C19H22O6	C11855	 Gibberellin A29-catabolite;	 PubChem: 14017	 CAS: 76040-29-4	 map00904 Diterpenoid biosynthesis	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C11856	 Gibberellin A6;	 PubChem: 14018	 CAS: 19147-78-5	NULL	NA	NA	NA	NA	NA
 346.3744;	 346.1416;	 C19H22O6	C11869	 Gibberellin A34-catabolite;	 PubChem: 14031	NULL	 map00904 Diterpenoid biosynthesis	NA	NA	NA	NA	NA
 362.3738;	 362.1366;	 C19H22O7	C09138	 Nagilactone C;	 PubChem: 11330	 CAS: 24338-53-2	NULL	NA	NA	NA	NA	NA
 362.3738;	 362.1366;	 C19H22O7	C09583	 Vernolide;	 PubChem: 11774	 CAS: 27428-86-0	NULL	NA	NA	NA	NA	NA
 362.3738;	 362.1366;	 C19H22O7	C11870	 Gibberellin A8-catabolite;	 PubChem: 14032	 CAS: 78791-79-4	 map00904 Diterpenoid biosynthesis	NA	NA	NA	NA	NA
 378.3732;	 378.1315;	 C19H22O8	C09477	 Hydroxyvernolide;	 PubChem: 11668	 CAS: 27470-84-4	NULL	NA	NA	NA	NA	NA
 378.3732;	 378.1315;	 C19H22O8	C21786	 Oleuropein aglycone;	 PubChem: 354339129	 CAS: 31773-95-2	NULL	HMDB0029304	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Endogenous
 394.3726;	 394.1264;	 C19H22O9	C08994	 Aloesin;	 PubChem: 11186	 CAS: 30861-27-9	NULL	NA	NA	NA	NA	NA
 394.3726;	 394.1264;	 C19H22O9	C09172	 Podolactone B;	 PubChem: 11364	 CAS: 26804-82-0	NULL	NA	NA	NA	NA	NA
 314.8523;	 314.155;	 C19H23ClN2	C06918	 Clomipramine;	 PubChem: 9135	 CAS: 303-49-1	NULL	HMDB0015372	Organoheterocyclic compounds	Benzazepines	Dibenzazepines	null
 378.9161;	 378.1169;	 C19H23ClN2O2S	C18803	 Pyridate;	 PubChem: 124489477	 CAS: 55512-33-9	NULL	HMDB0256961	Organoheterocyclic compounds	Diazines	Pyridazines and derivatives	null
 398.8347;	 398.1132;	 C19H23ClO7	C09288	 Acroptilin; Chlorohyssopifolin C;	 PubChem: 11479	 CAS: 41787-75-1	NULL	NA	NA	NA	NA	NA
 334.3819;	 334.158;	 C19H23FO4	C15105	" 9-Fluoro-16alpha-hydroxyandrost-4-ene-3,11,17-trione;"	 PubChem: 17396102	NULL	NULL	NA	NA	NA	NA	NA
 293.406;	 293.1892;	 C19H23N3	C10995	 Amitraz; Mitac;	 PubChem: 13178	 CAS: 33089-61-1	NULL	NA	NA	NA	NA	NA
 325.4048;	 325.179;	 C19H23N3O2	C07543	 Ergonovine; Ergometrine;	 PubChem: 9746	 CAS: 60-79-7	NULL	HMDB0015383	Alkaloids and derivatives	Ergoline and derivatives	Lysergic acids and derivatives	null
 325.4048;	 325.179;	 C19H23N3O2	C11483	 MEGA;	 PubChem: 13653	NULL	NULL	NA	NA	NA	NA	NA
 389.4686;	 389.1409;	 C19H23N3O4S	C11729	 Hetacillin;	 PubChem: 13894	 CAS: 3511-16-8	NULL	HMDB0014877	Organoheterocyclic compounds	Lactams	Beta lactams	null
 369.4176;	 369.1801;	 C19H23N5O3	C11154	 Trimetrexate;	 PubChem: 13336	 CAS: 52128-35-5	NULL	HMDB0015288	Organoheterocyclic compounds	Diazanaphthalenes	Benzodiazines	null
 526.3939;	 526.1213;	 C19H23N6O10P	C11462	" 3-Hydroxy-L-tyrosyl-AMP; 3,4-Dihydroxy-L-phenylalanyl-AMP;"	 PubChem: 13633	NULL	NULL	NA	NA	NA	NA	NA
 494.3951;	 494.1315;	 C19H23N6O8P	C03709	 N-Adenylyl-L-phenylalanine;	 PubChem: 6477	NULL	NULL	NA	NA	NA	NA	NA
 445.4292;	 445.171;	 C19H23N7O6	C00101	" Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA;"	 PubChem: 3401	 CAS: 135-16-0	" map00260 Glycine, serine and threonine metabolism; map00670 One carbon pool by folate; map00680 Methane metabolism; map00720 Carbon fixation pathways in prokaryotes; map00790 Folate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01240 Biosynthesis of cofactors; map01523 Antifolate resistance"	HMDB0001846	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Endogenous
 313.3908;	 313.1678;	 C19H23NO3	C07537	 Ethylmorphine;	 PubChem: 9740	 CAS: 76-58-4	NULL	HMDB0015509	Alkaloids and derivatives	Morphinans	null	null
 313.3908;	 313.1678;	 C19H23NO3	C09342	 Armepavine;	 PubChem: 11533	 CAS: 524-20-9	NULL	NA	NA	NA	NA	NA
 313.3908;	 313.1678;	 C19H23NO3	C09423	 Erysotrine;	 PubChem: 11614	 CAS: 27740-43-8	NULL	HMDB0030259	Alkaloids and derivatives	Erythrina alkaloids	Erythrinanes	Endogenous
 313.3908;	 313.1678;	 C19H23NO3	C09565	 Laurifine;	 PubChem: 11756	 CAS: 56261-28-0	NULL	NA	NA	NA	NA	NA
 313.3908;	 313.1678;	 C19H23NO3	C11780	 6-Ethylmorphine;	 PubChem: 13944	NULL	NULL	NA	NA	NA	NA	NA
 313.3908;	 313.1678;	 C19H23NO3	C15078	" 3-Methoxyestra-1,3,5(10)-triene-16,17-dione 16-oxime; 3-Methoxyestra-1,3,5(10)-trien-16-oximino-17-one;"	 PubChem: 17396075	 CAS: 40822-17-1	NULL	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C02105	 (S)-Reticuline; (+)-Reticuline;	 PubChem: 5187	 CAS: 485-19-8	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0003601	Organoheterocyclic compounds	Isoquinolines and derivatives	Benzylisoquinolines	Endogenous
 329.3902;	 329.1627;	 C19H23NO4	C05178	" (R)-Reticuline; (1R)-1,2,3,4-Tetrahydro-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol;"	 PubChem: 7589	 CAS: 3968-19-2	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C05220	" Salutaridinol; 5,6,8,14-Tetradehydro-3,6-dimethoxy-17-methyl-morphinan-4,7-diol;"	 PubChem: 7619	 CAS: 3271-79-2	 map00950 Isoquinoline alkaloid biosynthesis; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C09643	 Sinomenine;	 PubChem: 11833	 CAS: 115-53-7	NULL	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C10852	 Cinnamoylcocaine;	 PubChem: 13035	 CAS: 521-67-5	NULL	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C12328	" Reticuline; (R,S)-Reticuline;"	 PubChem: 582718	 CAS: 485-19-8	NULL	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C17899	 Isosinomenine;	 PubChem: 96024132	NULL	NULL	NA	NA	NA	NA	NA
 329.3902;	 329.1627;	 C19H23NO4	C21630	 (S)-Norlaudanine;	 PubChem: 340650293	NULL	 map00950 Isoquinoline alkaloid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 345.3896;	 345.1576;	 C19H23NO5	C08515	 Albomaculine;	 PubChem: 10708	 CAS: 668-63-3	NULL	NA	NA	NA	NA	NA
 345.3896;	 345.1576;	 C19H23NO5	C09325	 Aknadicine;	 PubChem: 11516	 CAS: 24148-89-8	NULL	NA	NA	NA	NA	NA
 361.389;	 361.1525;	 C19H23NO6	C08514	 3-Acetylnerbowdine;	 PubChem: 10707	 CAS: 100196-22-3	NULL	NA	NA	NA	NA	NA
 361.389;	 361.1525;	 C19H23NO6	C12169	 1-Epideacetylbowdensine;	 PubChem: 14316	NULL	NULL	NA	NA	NA	NA	NA
 435.2957;	 434.0899;	 C19H24Cl2O7	C09359	 Chlorohyssopifolin A;	 PubChem: 11550	 CAS: 37006-36-3	NULL	NA	NA	NA	NA	NA
 397.85;	 397.1292;	 C19H24ClNO6	C16910	 Acutumine;	 PubChem: 96023403	 CAS: 17088-50-5	NULL	NA	NA	NA	NA	NA
 826.456;	 827.9332;	 C19H24MoN8O15P2S2	C21485	 Cytidylyl molybdenum cofactor; Molybdopterin cytosine dinucleotide cofactor;	 PubChem: 333497468	NULL	 map00790 Folate biosynthesis; map01100 Metabolic pathways	NA	NA	NA	NA	NA
 280.4073;	 280.1939;	 C19H24N2	C07049	 Imipramine;	 PubChem: 9261	 CAS: 50-49-7	NULL	HMDB0001848	Organoheterocyclic compounds	Benzazepines	Dibenzazepines	null
 280.4073;	 280.1939;	 C19H24N2	C09215	 Ibogamine;	 PubChem: 11406	 CAS: 481-87-8	NULL	NA	NA	NA	NA	NA
 296.4067;	 296.1889;	 C19H24N2O	C09033	 Antirhine;	 PubChem: 11225	 CAS: 16049-28-8	NULL	NA	NA	NA	NA	NA
 296.4067;	 296.1889;	 C19H24N2O	C09146	" Eburnamine; (-)-Eburnamine; (14alpha)-14,15-Dihydroeburnamenin-14-ol;"	 PubChem: 11338	 CAS: 473-99-4	NULL	NA	NA	NA	NA	NA
 296.4067;	 296.1889;	 C19H24N2O	C10123	 Adenocarpine;	 PubChem: 12309	 CAS: 6793-63-1	NULL	NA	NA	NA	NA	NA
 296.4067;	 296.1889;	 C19H24N2O	C16727	 Cinchonamine;	 PubChem: 96023251	 CAS: 482-28-0	 map00996 Biosynthesis of various alkaloids; map01063 Biosynthesis of alkaloids derived from shikimate pathway	NA	NA	NA	NA	NA
 312.4061;	 312.1838;	 C19H24N2O2	C07367	 Praziquantel;	 PubChem: 9571	 CAS: 55268-74-1	NULL	HMDB0015191	Organoheterocyclic compounds	Tetrahydroisoquinolines	null	null
 312.4061;	 312.1838;	 C19H24N2O2	C11810	 Norajmaline;	 PubChem: 13974	NULL	 map00901 Indole alkaloid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 328.4055;	 328.1787;	 C19H24N2O3	C06494	 Compound V(S); 5-(5-(4-(5-Hydro-4-methyl-2-oxazolyl)phenoxy)pentyl)-3-methylisoxazole;	 PubChem: 8725	NULL	NULL	NA	NA	NA	NA	NA
 328.4055;	 328.1787;	 C19H24N2O3	C07063	 Labetalol;	 PubChem: 9275	 CAS: 36894-69-6	NULL	HMDB0014736	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	null
 328.4055;	 328.1787;	 C19H24N2O3	C19982	" Gelsedine; (Spiro(3H-indole-3,7'(6'H)-(3,) (6)methano(1H)oxepino(4,3-b)pyrrol)-2(1H)-one,) 2'-ethyl-2',3',3'a, 4',8',8'a-hexahydro-1-methoxy-;"	 PubChem: 135626448	 CAS: 7096-96-0	NULL	NA	NA	NA	NA	NA
 360.4705;	 360.1508;	 C19H24N2O3S	C13676	 LY395153;	 PubChem: 586268	NULL	NULL	NA	NA	NA	NA	NA
 344.4049;	 344.1736;	 C19H24N2O4	C07805	 Formoterol;	 PubChem: 10007	 CAS: 73573-87-2	NULL	HMDB0015118	Benzenoids	Benzene and substituted derivatives	Phenethylamines	null
 328.4717;	 328.1609;	 C19H24N2OS	C07192	 Methotrimeprazine; Levomepromazine;	 PubChem: 9401	 CAS: 60-99-1	NULL	HMDB0015474	Organoheterocyclic compounds	Benzothiazines	Phenothiazines	null
 340.4195;	 340.1899;	 C19H24N4O2	C07420	 Pentamidine;	 PubChem: 9624	 CAS: 100-33-4	NULL	HMDB0014876	Benzenoids	Phenol ethers	null	null
 480.5611;	 480.125;	 C19H24N6O5S2	C08111	 Cefepime;	 PubChem: 10311	 CAS: 88040-23-7	NULL	HMDB0015483	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	null
 509.4097;	 509.1424;	 C19H24N7O8P	C07027	" N6,N6,O-Tridemethylpuromycin-5'-phosphate;"	 PubChem: 9239	NULL	 map00998 Biosynthesis of various antibiotics; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 314.3988;	 314.1756;	 C19H24NO3	C16991	 Magnocurarine;	 PubChem: 96023477	 CAS: 6801-40-7	NULL	NA	NA	NA	NA	NA
 314.3988;	 314.1756;	 C19H24NO3	C17567	 Lotusine; (-)-Lotusine; D-(-)-Lotusine;	 PubChem: 96023912	NULL	NULL	HMDB0033347	Organoheterocyclic compounds	Isoquinolines and derivatives	Benzylisoquinolines	Food
 268.3933;	 268.1827;	 C19H24O	C15107	" 3-Methoxyestra-1,3,5(10),16-tetraene;"	 PubChem: 17396104	NULL	NULL	NA	NA	NA	NA	NA
 268.3933;	 268.1827;	 C19H24O	C15217	 4-[1-Ethyl-2-(4-methylphenyl)butyl]phenol; 3-(p-Phenyl)-4-(p-tolyl)hexane;	 PubChem: 17396214	NULL	NULL	NA	NA	NA	NA	NA
 284.3927;	 284.1776;	 C19H24O2	C14257	" Methyltrienolone; Metribolone; 17-beta-Hydroxy-17-methylestra-4,9,11-trien-3-one;"	 PubChem: 7847067	 CAS: 965-93-5	NULL	NA	NA	NA	NA	NA
 284.3927;	 284.1776;	 C19H24O2	C15194	" Androsta-4,9(11)-diene-3,17-dione; 9(11)-Dehydroandrostenedione;"	 PubChem: 17396191	NULL	NULL	NA	NA	NA	NA	NA
 284.3927;	 284.1776;	 C19H24O2	C15211	" 4,4-Bis(4-hydroxyphenyl)heptane;"	 PubChem: 17396208	NULL	NULL	NA	NA	NA	NA	NA
 284.3927;	 284.1776;	 C19H24O2	C15255	" 1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol;"	 PubChem: 17396252	NULL	NULL	NA	NA	NA	NA	NA
